;playlist;title;artist;date;timestamp_8s;timestamp_long;duration;url
49;Orchestral;Stairway_To_Heaven;Led Zeppelin;;0:00;0:00;52;https://www.youtube.com/watch?v=QkF3oxziUI4
50;Synthetic;Super_Mario_Bros_(NES)_Music_Overworld_Theme;;;0:00;0:00;59;https://www.youtube.com/watch?v=iy3qq7zc4EY
51;Synthetic;Super_Mario_Bros_(NES)_Music_Underground_Theme;;;0:00;0:00;49;https://www.youtube.com/watch?v=UOwyFPgjPQ4
52;Synthetic;Super_Mario_Bros_3_Overworld_1_Theme;;;0:04;0:00;54;https://www.youtube.com/watch?v=oZszAppxXoo
53;Synthetic;Super_Mario_Bros_3_Underwater_Theme;;;0:04;0:00;46;https://www.youtube.com/watch?v=JGpOPWM6uzE
54;Synthetic;Super_Mario_64_BobOmb_Battlefield_(Extended)_Theme;;;0:04;0:00;54;https://www.youtube.com/watch?v=xC3oIT5g_os
55;Synthetic;Original_Tetris_theme_(Tetris_Soundtrack);;;0:00;0:00;50;https://www.youtube.com/watch?v=NmCCQxVBfyM
56;Synthetic;Donkey_Kong_Country_OST_(Super_Nintendo)_DK_Island_Swing;;;1:14;0:40;59;https://www.youtube.com/watch?v=HG8YrDF6cDk
57;Synthetic;Final_Fantasy_7_Music_Aeriths_Theme;Nobuo Uematsu;1997.0;0:14;0:14;57;https://www.youtube.com/watch?v=n0H6kTppjP8
58;Synthetic;Legend_of_Zelda_The_(NES)_Music_Overworld_Theme;Koji Kondo;;0:06;0:00;50;https://www.youtube.com/watch?v=ncg72VswyTs
59;Synthetic;Castlevania_4_Bloody_Tears_(Super_Nintendo);;;0:09;0:00;58;https://www.youtube.com/watch?v=QOWUSsFar-s
60;Synthetic;Populous_(SNES_SFC)_BGM_01_Title_Theme;Rob Hubbard, Kazuo Sawa;;0:00;0:00;49;https://www.youtube.com/watch?v=_Oix8HQESBs
61;Synthetic;Sim_City_Growth;;;0:00;0:00;32;https://www.youtube.com/watch?v=cwWrJg6OMs8
62;Synthetic;Sid_Meiers_Civilization_SNES_OST_06_City_Menu;;1991.0;0:06;0:06;60;https://www.youtube.com/watch?v=zFND5ln-06o
63;Synthetic;Shinobi_3_Return_Of_The_Ninja_Master_OST_Japonesque_(level_1_1);;;0:20;0:00;45;https://www.youtube.com/watch?v=rVmaou-eQfY
64;Synthetic;Shinobi_3_Return_Of_The_Ninja_Master_OST_Shinobi_Walk_(level_4_2);;;0:24;0:09;52;https://www.youtube.com/watch?v=A1jKza3O1y4
65;Synthetic;Shinobi_3_Return_Of_The_Ninja_Master_OST_Idaten_(level_5_1);;;0:06;0:00;61;https://www.youtube.com/watch?v=TFZQWCg99l4
66;Synthetic;Sonic_The_Hedgehog_OST_Green_Hill_Zone;;;0:00;0:00;52;https://www.youtube.com/watch?v=G-i8HYi1QH0
67;Synthetic;Invincibility_Sonic_the_Hedgehog_2;;;0:01;0:00;52;https://www.youtube.com/watch?v=UbobbsFpMR0
68;Synthetic;Mortal_Kombat_(Sega_Genesis)_Opening_Theme;;;0:21;0:00;48;https://www.youtube.com/watch?v=yVCoMrJwFZc
69;Synthetic;Street_Fighter_II_Champion_Edition_Arcade_Music_Guile_Theme_(CPS_1);;;0:00;0:00;55;https://www.youtube.com/watch?v=kZTFKSfKZ_Q
70;Synthetic;Aladdin_Genesis_Music_Ending;;;0:35;0:00;65;https://www.youtube.com/watch?v=oaIXo6aaL-w
71;Synthetic;Space_Harrier_Music_MAIN_THEME;;;0:25;0:25;48;https://www.youtube.com/watch?v=-_Tam9lv1KQ
72;Synthetic;Streets_Of_Rage_1_OST_Stage_1;Yuzo Koshiro;1991.0;0:29;0:00;45;https://www.youtube.com/watch?v=tfiUfU18FmM
73;Synthetic;Celeste_Original_Soundtrack_03_Resurrections;Lena Raine;;2:13;2:13;50;https://www.youtube.com/watch?v=1rwAvUvvQzQ
74;Synthetic;Megalovania_Undertale;Toby Fox;2015.0;0:16;0:08;56;https://www.youtube.com/watch?v=0FCvzsVlXpQ
75;Lyrics;Goodbye_Blue_Sky;Pink_Floyd;1979;;1:50;48;https://www.youtube.com/watch?v=bn6YnUt4Vuk
76;Lyrics;Synchronicity;The_Police;1983;;0:15;47;https://www.youtube.com/watch?v=Si5CSpUCDGY
77;Lyrics;Paperback_writer;The_Beatles;1966;;0:09;46;https://www.youtube.com/watch?v=yYvkICbTZIQ
78;Orchestral;Make_Em_Laugh;Donald_O_Connor;1952.0;;1:36;60;https://www.youtube.com/watch?v=ieU4Am0t0tc
79;Orchestral;My_Name_is_Nobody_Good_Luck_Jack;Ennio Morricone;;;3:17;53;https://www.youtube.com/watch?v=duF1OQho1gc
80;Synthetic;Super_Mario_Bros_(NES)_Music_Castle_Theme;;;;0:00;47;https://www.youtube.com/watch?v=In8WfBgBEis
81;Synthetic;Super_Mario_Bros_3_Athletic_Theme;;;;0:00;50;https://www.youtube.com/watch?v=l6CxZInFlZM
82;Synthetic;Super_Mario_Bros_3_Castle_Theme;;;;0:00;53;https://www.youtube.com/watch?v=ixA3SzX6uUc
83;Synthetic;Super_Mario_Bros_3_Airship;;;;0:00;60;https://www.youtube.com/watch?v=7TO0N4KxzPE
84;Synthetic;Super_Mario_Bros_3_Boss_Battle;;;;0:00;57;https://www.youtube.com/watch?v=8Tj3-bmDnS8
