playlist;title;artist;date;timestamp_8s;timestamp_long;duration;url
Orchestral;My Name is Nobody - Il Mio Nome è Nessuno (Album);Ennio Morricone;;0:25;0:03;53;https://www.youtube.com/watch?v=duF1OQho1gc
Orchestral;Body and soul;Coleman Hawkins;;0:14;0:00;59;https://www.youtube.com/watch?v=Pkvju_DlP8A
Orchestral;Stairway To Heaven;Led Zeppelin;;0:00;0:00;52;https://www.youtube.com/watch?v=QkF3oxziUI4
Synthetic;Super Mario Bros (NES) Music - Overworld Theme;;;0:00;0:00;59;https://www.youtube.com/watch?v=iy3qq7zc4EY
Synthetic;Super Mario Bros (NES) Music - Underground Theme;;;0:00;0:00;49;https://www.youtube.com/watch?v=UOwyFPgjPQ4
Synthetic;Super Mario Bros. 3 - Overworld 1 Theme;;;0:04;0:00;54;https://www.youtube.com/watch?v=oZszAppxXoo
Synthetic;Super Mario Bros 3 - Underwater Theme;;;0:04;0:00;46;https://www.youtube.com/watch?v=JGpOPWM6uzE
Synthetic;Super Mario 64 - Bob-Omb Battlefield (Extended) Theme;;;0:04;0:00;54;https://www.youtube.com/watch?v=xC3oIT5g_os
Synthetic;Original Tetris theme (Tetris Soundtrack);;;0:00;0:00;50;https://www.youtube.com/watch?v=NmCCQxVBfyM
Synthetic;Donkey Kong Country OST (Super Nintendo) - Track 03/23 - DK Island Swing;;;1:14;0:40;59;https://www.youtube.com/watch?v=HG8YrDF6cDk
Synthetic;Final Fantasy 7 Music - Aerith's Theme;Nobuo Uematsu;1997;0:14;0:14;57;https://www.youtube.com/watch?v=n0H6kTppjP8
Synthetic;Legend of Zelda, The (NES) Music - Overworld Theme;Koji Kondo;;0:06;0:00;50;https://www.youtube.com/watch?v=ncg72VswyTs
Synthetic;Castlevania 4 - Bloody Tears (Super Nintendo);;;0:09;0:00;58;https://www.youtube.com/watch?v=QOWUSsFar-s
Synthetic;Populous (SNES/SFC) - BGM 01: Title Theme;Rob Hubbard, Kazuo Sawa;;0:00;0:00;49;https://www.youtube.com/watch?v=_Oix8HQESBs
Synthetic;Sim City - Growth;;;0:00;0:00;32;https://www.youtube.com/watch?v=cwWrJg6OMs8
Synthetic;Sid Meier's Civilization 【SNES】 OST 06 City Menu;;1991;0:06;0:06;60;https://www.youtube.com/watch?v=zFND5ln-06o
Synthetic;Shinobi 3 Return Of The Ninja Master OST- Japonesque (level 1-1);;;0:20;0:00;44;https://www.youtube.com/watch?v=rVmaou-eQfY
Synthetic;Shinobi 3 Return Of The Ninja Master OST- Shinobi Walk (level 4-2);;;0:24;0:09;52;https://www.youtube.com/watch?v=A1jKza3O1y4
Synthetic;Shinobi 3 Return Of The Ninja Master OST- Idaten (level 5-1);;;0:06;0:00;61;https://www.youtube.com/watch?v=TFZQWCg99l4
Synthetic;Sonic The Hedgehog OST - Green Hill Zone;;;0:00;0:00;52;https://www.youtube.com/watch?v=G-i8HYi1QH0
Synthetic;Invincibility - Sonic the Hedgehog 2 [OST];;;0:01;0:00;52;https://www.youtube.com/watch?v=UbobbsFpMR0
Synthetic;Mortal Kombat (Sega Genesis) - Opening Theme;;;0:21;0:00;48;https://www.youtube.com/watch?v=yVCoMrJwFZc
Synthetic;Street Fighter II: Champion Edition Arcade Music - Guile Theme (CPS-1);;;0:00;0:00;55;https://www.youtube.com/watch?v=kZTFKSfKZ_Q
Synthetic;Aladdin Genesis Music Ending;;;0:35;0:00;65;https://www.youtube.com/watch?v=oaIXo6aaL-w&t=35
Synthetic;Space Harrier Music - MAIN THEME;;;0:25;0:25;48;https://www.youtube.com/watch?v=-_Tam9lv1KQ
Synthetic;Streets Of Rage 1 OST- Stage 1;Yuzo Koshiro;1991;0:29;0:00;45;https://www.youtube.com/watch?v=tfiUfU18FmM
Synthetic;[Official] Celeste Original Soundtrack - 03 - Resurrections;Lena Raine;;2:13;2:13;50;https://www.youtube.com/watch?v=1rwAvUvvQzQ
Synthetic;Megalovania (Undertale);Toby Fox;2015;0:16;0:08;56;https://www.youtube.com/watch?v=0FCvzsVlXpQ
